Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HomeWin,Draw,AwayWin,MoreThanTwoGoals,LessThanTwoGoals,BothTeamScore,TwoToThree
SP1,15/01/2023,15:15,Almeria,Ath Madrid,,,,,,,5,3.75,1.7,1.9,1.9,1.8,2
E0,18/01/2023,20:00,Crystal Palace,Man United,,,,,,,4.5,3.60,1.80,,,,
E0,19/01/2023,20:00,Man City,Tottenham,,,,,,,1.91,3.4,4.33,,,,
D1,20/01/2023,20:30,RB Leipzig,Bayern Munich,,,,,,,,,,,,,
E1,20/01/2023,20:45,Sheffield United,Hull,,,,,,,,,,,,,
E1,20/01/2023,21:00,Burnley,West Brom,,,,,,,,,,,,,
SP1,20/01/2023,21:00,Mallorca,Celta,,,,,,,,,,,,,
E0,20/01/2023,13:30,Liverpool,Chelsea,,,,,,,,,,,,,
E0,20/01/2023,16:00,Bournemouth,Nott'm Forest,,,,,,,,,,,,,
E0,20/01/2023,16:00,Leicester,Brighton,,,,,,,,,,,,,
E0,20/01/2023,16:00,Southampton,Aston Villa,,,,,,,,,,,,,
E0,20/01/2023,16:00,West Ham,Everton,,,,,,,,,,,,,
E0,20/01/2023,18:30,Crystal Palace,Newcastle,,,,,,,,,,,,,
E1,20/01/2023,13:30,Coventry,Norwich,,,,,,,,,,,,,
E1,20/01/2023,16:00,Brimingham,Preston,,,,,,,,,,,,,
E1,20/01/2023,16:00,Blackpool,Huddersfield,,,,,,,,,,,,,
E1,20/01/2023,16:00,Bristol City,Blackburn,,,,,,,,,,,,,
E1,20/01/2023,16:00,Cardiff,Millwall,,,,,,,,,,,,,
E1,20/01/2023,16:00,QPR,Swansea,,,,,,,,,,,,,
E1,20/01/2023,16:00,Stoke,Reading,,,,,,,,,,,,,
E1,20/01/2023,16:00,Watford,Rotherham,,,,,,,,,,,,,
E1,20/01/2023,16:00,Wigan,Luton,,,,,,,,,,,,,
SP1,20/01/2023,14:00,Vallecano,Sociedad,,,,,,,,,,,,,
SP1,20/01/2023,16:15,Espanyol,Betis,,,,,,,,,,,,,
SP1,20/01/2023,18:30,Ath Madrid,Valladolid,,,,,,,,,,,,,
SP1,20/01/2023,21:00,Sevilla,Cadiz,,,,,,,,,,,,,
I1,20/01/2023,15:00,Verona,Lecce,,,,,,,,,,,,,
I1,20/01/2023,18:30,Salernitana,Napoli,,,,,,,,,,,,,
I1,20/01/2023,21:00,Fiorentina,Torin,,,,,,,,,,,,,
D1,20/01/2023,15:30,Union Berlin,Hoffenheim,,,,,,,,,,,,,
D1,20/01/2023,15:30,Ein Frankfurt,Schalke 04,,,,,,,,,,,,,
D1,20/01/2023,15:30,Stuttgart,Mainz,,,,,,,,,,,,,
D1,20/01/2023,15:30,Bochum,Hertha,,,,,,,,,,,,,
D1,20/01/2023,15:30,Wolfsburg,Freiburg,,,,,,,,,,,,,
D1,20/01/2023,18:30,Koln,Werder Bremen,,,,,,,,,,,,,
E2,20/01/2023,16:00,Barnsley,Accrington,,,,,,,,,,,,,
E2,20/01/2023,16:00,Bristol Rvs,Wycombe,,,,,,,,,,,,,
E2,20/01/2023,16:00,Derby,Bolton,,,,,,,,,,,,,
E2,20/01/2023,16:00,Forest Green,Milton Keynes Dons,,,,,,,,,,,,,
E2,20/01/2023,16:00,Lincoln,Burton,,,,,,,,,,,,,
E2,20/01/2023,16:00,Morecambe,Port Vale,,,,,,,,,,,,,
E2,20/01/2023,16:00,Plymouth,Cheltenham,,,,,,,,,,,,,
E2,20/01/2023,16:00,Oxford,Ipswich,,,,,,,,,,,,,
E2,20/01/2023,16:00,Peterboro,Charlton,,,,,,,,,,,,,
E2,20/01/2023,16:00,Portsmouth,Exeter,,,,,,,,,,,,,
E2,20/01/2023,16:00,Sheffield Weds,Fleetwood Town,,,,,,,,,,,,,
E2,20/01/2023,16:00,Shrewsbury,Cambridge,,,,,,,,,,,,,
D1,21/01/2023,15:30,Dortmund,Augsburg,,,,,,,,,,,,,
D1,21/01/2023,17:30,M'gladbach,Leverkusen,,,,,,,,,,,,,
E0,21/01/2023,15:00,Leeds,Brentford,,,,,,,,,,,,,
E0,21/01/2023,15:00,Man City,Wolves,,,,,,,,,,,,,
E0,21/01/2023,17:30,Arsenal,Man united,,,,,,,,,,,,,
E1,21/01/2023,13:00,Sunderland,Middlesbrough,,,,,,,,,,,,,
SP1,21/01/2023,14:00,Villarreal,Girona,,,,,,,,,,,,,
SP1,21/01/2023,16:15,Elche,Osasuna,,,,,,,,,,,,,
SP1,21/01/2023,18:30,Barcelona,Getafe,,,,,,,,,,,,,
SP1,21/01/2023,21:00,Ath Bilbao,Real Madrid,,,,,,,,,,,,,
I1,21/01/2023,12:30,Sampdoria,Udinese,,,,,,,,,,,,,
I1,21/01/2023,15:00,Monza,Sassuolo,,,,,,,,,,,,,
I1,21/01/2023,18:00,Spezia,Roma,,,,,,,,,,,,,
I1,21/01/2023,20:45,Juventus,Atalanta,,,,,,,,,,,,,
