DateTime,League,GameDay,Home,Away,FullTimeHomeScore,FullTimeAwayScore,HalftimeHomeScore,HalftimeAwayScore,FullTimeResult
04/03/2023 19:30,D2,26,Heidenheim,Darmstadt,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
05/03/2023 12:30,D2,26,Braunschweig,Bielefeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/03/2023 12:30,D2,26,Greuther Furth,Hannover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/03/2023 12:30,D2,26,Hansa Rostock,Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023 12:30,E2,26,Morecambe,Bolton,,,,,,,5.25,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023 15:00,E2,26,Accrington,Forest Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023 15:00,E2,26,Bristol Rvs,Barnsley,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023 15:00,E2,26,Cambridge,Portsmouth,,,,,,,3,,,,,,,,,,,,,,
04/03/2023 15:00,E2,26,Cheltenham,Fleetwood Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023 15:00,E2,26,Derby,Shrewsbury,,,,,,,1.65,,,,,,,,,,,,,,,
04/03/2023 15:00,E2,26,Ipswich,Burton,,,,,,,1.33,5,,,,,,,,,,,,,
04/03/2023 15:00,E2,26,Lincoln,Oxford,,,,,,,2.7,3.1,,,,,,,,,,,,,,,
04/03/2023 15:00,E2,26,Plymouth,Charlton,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,
04/03/2023 15:00,E2,26,Port Vale,Milton Keynes Dons,,,,,,,,,,,,,,,,,,,,,
04/03/2023 15:00,E2,26,Sheffield Weds,Peterboro,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023 15:00,E2,26,Wycombe,Exeter,,,,,,,2,3.6,3,,,,,,,,,
04/03/2023 14:00,F2,26,Bordeaux,St Etienne,,,,,,,2.,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023 18:00,F2,26,Amiens,Pau FC,,,,,,,1.73,3.5,,,,,,,,,,
04/03/2023 18:00,F2,26,Annecy,Metz,,,,,,,3.8,3.2,2.,,,,,,,,,
04/03/2023 18:00,F2,26,Bastia,Nimes,,,,,,,1.85,3.1,,,,,,,,,,,,,,,,,,,,
04/03/2023 18:00,F2,26,Dijon,Grenoble,,,,,,,2.38,3,,,,,,,,,,,,,,,,,
04/03/2023 18:00,F2,26,Le Havre,Laval,,,,,,,1.67,3.,,,,,,,,,,,,,,,,,,,
04/03/2023 18:00,F2,26,Niort,Rodez,,,,,,,2.4,3,3.2,,,,,,,,,,,
04/03/2023 18:00,F2,26,Paris FC,Guingamp,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,
04/03/2023 18:00,F2,26,Quevilly Rouen,Valenciennes,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2023 19:45,F2,26,Caen,Sochaux,,,,,,,2.4,3.2,3,,,,,
