HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Ath Madrid,Girona,2,1,13,11,1,0,0,0,0
Sevilla,Ath Bilbao,1,1,10,21,1,0,0,0,0
Getafe,Real Madrid,0,1,9,19,0,1,0,0,0
Osasuna,Valencia,1,2,11,15,0,1,0,0,0
Vallecano,Elche,2,1,15,5,1,1,0,0,0
Espanol,Valencia,2,2,10,12,0,0,0,0,0
Celta,Betis,1,0,11,9,1,0,0,0,0
Girona,Sociedad,3,5,16,11,2,2,0,0,0
Real Madrid,Osasuna,1,1,22,8,1,0,0,0,0
Cadiz,Villarreal,0,0,10,14,0,0,0,0,0
Getafe,Valladolid,2,3,14,14,2,2,0,0,0
Sevilla,Ath Madrid,0,2,14,20,0,1,0,0,0
Mallorca,Barcelona,0,1,13,11,0,1,0,0,0
Ath Bilbao,Almeria,4,0,17,8,2,0,0,0,0
Osasuna,Getafe,0,2,12,10,0,1,0,0,0
Villarreal,Sevilla,1,1,17,12,0,1,0,0,0
Betis,Girona,2,1,9,8,1,1,0,0,0
Sociedad,Espanol,2,1,14,14,2,1,0,0,0
Ath Madrid,Real Madrid,1,2,12,6,0,2,0,0,0
Mallorca,Almeria,1,0,5,9,1,0,0,0,0
Barcelona,Elche,3,0,25,1,2,0,0,0,0
Valencia,Celta,3,0,14,6,1,0,0,0,0
Ath Bilbao,Vallecano,3,2,14,11,3,1,0,0,0
Valladolid,Cadiz,0,1,18,7,0,0,0,0,0
Almeria,Osasuna,0,1,7,15,0,1,0,0,0
Real Madrid,Mallorca,4,1,22,5,1,1,0,0,0
Elche,Ath Bilbao,1,4,9,16,0,4,0,0,0
Getafe,Sociedad,2,1,8,13,1,0,0,0,0
Betis,Villarreal,1,0,16,14,0,0,0,0,0
Vallecano,Valencia,2,1,14,17,1,0,0,0,0
Espanol,Sevilla,2,3,19,11,1,3,0,0,0
Cadiz,Barcelona,0,4,6,16,0,0,0,0,0
Ath Madrid,Celta,4,1,10,14,1,0,0,0,0
Girona,Valladolid,2,1,14,14,1,1,0,0,0
Valladolid,Almeria,1,0,14,12,0,0,0,0,0
Osasuna,Vallecano,2,1,13,5,0,0,0,0,0
Ath Bilbao,Espanol,0,1,17,9,0,0,0,0,0
Villarreal,Elche,4,0,18,7,2,0,0,0,0
Valencia,Getafe,5,1,24,7,3,0,0,0,0
Mallorca,Girona,1,1,10,10,0,0,0,0,0
Real Madrid,Betis,2,1,22,8,1,1,0,0,0
Sociedad,Ath Madrid,1,1,12,15,0,1,0,0,0
Sevilla,Barcelona,0,3,9,18,0,2,0,0,0
Celta,Cadiz,3,0,9,7,0,0,0,0,0
Cadiz,Ath Bilbao,0,4,9,20,0,1,0,0,0
Valencia,Ath Madrid,0,1,12,13,0,0,0,0,0
Getafe,Villarreal,0,0,8,11,0,0,0,0,0
Barcelona,Valladolid,4,0,24,8,2,0,0,0,0
Espanol,Real Madrid,1,3,15,19,1,1,0,0,0
Elche,Sociedad,0,1,12,9,0,1,0,0,0
Vallecano,Mallorca,0,2,15,9,0,1,0,0,0
Almeria,Sevilla,2,1,11,13,1,1,0,0,0
Girona,Celta,0,1,11,11,0,0,0,0,0
Betis,Osasuna,1,0,7,12,1,0,0,0,0
Elche,Almeria,1,1,13,12,1,1,0,0,0
Girona,Getafe,3,1,12,7,1,0,0,0,0
Ath Bilbao,Valencia,1,0,12,10,1,0,0,0,0
Ath Madrid,Villarreal,0,2,13,19,0,0,0,0,0
Sociedad,Barcelona,1,4,10,15,1,1,0,0,0
Osasuna,Cadiz,2,0,16,9,1,0,0,0,0
Mallorca,Betis,1,2,13,8,0,1,0,0,0
Celta,Real Madrid,1,4,15,16,1,2,0,0,0
Espanol,Vallecano,0,2,13,8,0,1,0,0,0
Sevilla,Valladolid,1,1,18,6,0,0,0,0,0
Ath Bilbao,Mallorca,0,0,23,6,0,0,0,0,0
Getafe,Ath Madrid,0,3,10,12,0,1,0,0,0
Betis,Elche,3,0,17,4,2,0,0,0,0
Cadiz,Sociedad,0,1,7,15,0,1,0,0,0
Valencia,Girona,1,0,17,5,1,0,0,0,0
Almeria,Real Madrid,1,2,10,29,1,0,0,0,0
Celta,Espanol,2,2,8,10,1,0,0,0,0
Valladolid,Villarreal,0,3,12,10,0,0,0,0,0
Barcelona,Vallecano,0,0,21,4,0,0,0,0,0
Osasuna,Sevilla,2,1,12,10,1,1,0,0,0
Elche,Getafe,3,1,19,7,1,1,0,0,0
Alaves,Cadiz,0,1,9,13,0,0,0,0,0
Granada,Espanol,0,0,15,10,0,0,0,0,0
Osasuna,Mallorca,0,2,11,14,0,0,0,0,0
Barcelona,Villarreal,0,2,14,4,0,1,0,0,0
Sevilla,Ath Bilbao,1,0,13,9,0,0,0,0,0
Sociedad,Ath Madrid,1,2,12,6,0,0,0,0,0
Valencia,Celta,2,0,10,9,1,0,0,0,0
Real Madrid,Betis,0,0,17,11,0,0,0,0,0
Vallecano,Levante,2,4,19,14,1,3,0,0,0
Ath Bilbao,Osasuna,2,0,14,8,1,0,0,0,0
Ath Madrid,Sevilla,1,1,12,8,1,0,0,0,0
Betis,Granada,2,0,11,14,1,0,0,0,0
Cadiz,Real Madrid,1,1,21,16,1,1,0,0,0
Celta,Elche,1,0,14,10,1,0,0,0,0
Getafe,Barcelona,0,0,9,5,0,0,0,0,0
Levante,Alaves,3,1,15,6,0,1,0,0,0
Mallorca,Vallecano,2,1,12,11,1,0,0,0,0
Villarreal,Sociedad,1,2,10,11,1,0,0,0,0
Espanol,Valencia,1,1,5,18,1,1,0,0,0
Sociedad,Cadiz,3,0,13,14,1,0,0,0,0
Vallecano,Villarreal,1,5,17,11,1,4,0,0,0
Real Madrid,Levante,6,0,27,16,4,0,0,0,0
Alaves,Espanol,2,1,27,5,1,1,0,0,0
Osasuna,Getafe,1,1,12,6,1,1,0,0,0
Sevilla,Mallorca,0,0,18,10,0,0,0,0,0
Elche,Ath Madrid,0,2,9,11,0,1,0,0,0
Valencia,Betis,0,3,19,9,0,0,0,0,0
Granada,Ath Bilbao,1,0,12,8,1,0,0,0,0
Barcelona,Celta,3,1,10,13,2,0,0,0,0
Getafe,Vallecano,0,0,12,12,0,0,0,0,0
Villarreal,Sevilla,1,1,14,7,0,0,0,0,0
Espanol,Osasuna,1,1,12,12,0,1,0,0,0
Ath Madrid,Real Madrid,1,0,16,15,1,0,0,0,0
Mallorca,Granada,2,6,18,14,1,1,0,0,0
Ath Bilbao,Valencia,0,0,10,4,0,0,0,0,0
Cadiz,Elche,3,0,17,4,0,0,0,0,0
Celta,Alaves,4,0,15,3,2,0,0,0,0
Betis,Barcelona,1,2,14,11,0,0,0,0,0
Levante,Sociedad,2,1,16,21,0,0,0,0,0
Getafe,Betis,0,0,13,9,0,0,0,0,0
Elche,Osasuna,1,1,11,9,0,0,0,0,0
Granada,Celta,1,1,15,13,0,0,0,0,0
Vallecano,Sociedad,1,1,13,8,0,1,0,0,0
Barcelona,Mallorca,2,1,17,6,1,0,0,0,0
