HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Bielefeld,Magdeburg,3,1,18,21,1,0,0,0,0
Darmstadt,Greuther Furth,1,1,10,9,1,1,0,0,0
Nurnberg,Paderborn,2,1,19,18,1,0,0,0,0
Hamburg,Sandhausen,4,2,18,9,1,0,0,0,0
Heidenheim,Regensburg,5,4,9,16,3,2,0,0,0
Karlsruhe,St Pauli,4,4,9,18,3,3,0,0,0
Braunschweig,Hansa Rostock,0,1,16,7,0,0,0,0,0
Fortuna Dusseldorf,Kaiserslautern,1,2,18,9,1,0,0,0,0
Holstein Kiel,Hannover,1,1,16,11,1,1,0,0,0
Magdeburg,Darmstadt,0,1,10,20,0,0,0,0,0
Greuther Furth,Hamburg,1,0,8,12,1,0,0,0,0
Hansa Rostock,Nurnberg,1,1,18,8,0,1,0,0,0
Regensburg,Braunschweig,1,1,17,7,1,1,0,0,0
Sandhausen,Heidenheim,3,4,13,17,0,2,0,0,0
Hannover,Fortuna Dusseldorf,2,0,12,22,2,0,0,0,0
Kaiserslautern,Karlsruhe,2,0,8,19,1,0,0,0,0
Paderborn,Bielefeld,0,2,11,18,0,2,0,0,0
St Pauli,Holstein Kiel,0,0,14,21,0,0,0,0,0
Braunschweig,Greuther Furth,0,1,6,7,0,1,0,0,0
Hamburg,Regensburg,3,1,23,11,1,1,0,0,0
Nurnberg,Magdeburg,1,2,12,21,0,0,0,0,0
Fortuna Dusseldorf,St Pauli,1,0,13,14,1,0,0,0,0
Heidenheim,Paderborn,3,0,15,6,1,0,0,0,0
Karlsruhe,Holstein Kiel,1,4,15,15,0,2,0,0,0
Bielefeld,Kaiserslautern,2,3,15,11,0,0,0,0,0
Darmstadt,Hannover,1,0,22,8,0,0,0,0,0
Hansa Rostock,Sandhausen,0,1,17,16,0,1,0,0,0
Hannover,Karlsruhe,1,0,18,17,0,0,0,0,0
Paderborn,Hamburg,2,3,17,15,1,2,0,0,0
Sandhausen,Braunschweig,2,2,20,4,0,0,0,0,0
Holstein Kiel,Fortuna Dusseldorf,1,2,14,11,0,1,0,0,0
Kaiserslautern,Nurnberg,0,0,18,5,0,0,0,0,0
Regensburg,Hansa Rostock,0,3,17,10,0,2,0,0,0
St Pauli,Darmstadt,1,1,23,15,0,0,0,0,0
Greuther Furth,Bielefeld,1,0,17,9,1,0,0,0,0
Magdeburg,Heidenheim,1,1,15,12,0,1,0,0,0
Hamburg,Magdeburg,2,3,23,8,0,1,0,0,0
Heidenheim,Greuther Furth,3,1,13,9,2,0,0,0,0
Karlsruhe,Fortuna Dusseldorf,0,2,12,17,0,2,0,0,0
Braunschweig,Paderborn,0,0,15,17,0,0,0,0,0
Nurnberg,Hannover,0,0,9,8,0,0,0,0,0
Regensburg,Sandhausen,2,1,10,7,1,1,0,0,0
Bielefeld,St Pauli,2,0,10,10,0,0,0,0,0
Darmstadt,Holstein Kiel,1,1,20,13,0,1,0,0,0
Hansa Rostock,Kaiserslautern,0,2,12,18,0,0,0,0,0
Holstein Kiel,Heidenheim,3,1,15,9,1,1,0,0,0
Kaiserslautern,Regensburg,0,3,17,17,0,1,0,0,0
Paderborn,Sandhausen,3,0,16,8,1,0,0,0,0
Fortuna Dusseldorf,Nurnberg,0,1,16,10,0,0,0,0,0
Karlsruhe,Darmstadt,1,2,8,11,1,0,0,0,0
Magdeburg,Braunschweig,0,2,9,9,0,0,0,0,0
Hannover,Bielefeld,2,0,10,17,1,0,0,0,0
Greuther Furth,Hansa Rostock,2,2,21,13,1,0,0,0,0
St Pauli,Hamburg,3,0,23,7,0,0,0,0,0
Heidenheim,Hannover,2,1,15,14,1,0,0,0,0
Nurnberg,Holstein Kiel,2,3,24,12,1,0,0,0,0
