HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Fulham,Tottenham,0,1,10,10,0,1,0,0,0
Leeds,Brentford,0,0,9,6,0,0,0,0,0
Man City,Wolves,3,0,13,10,1,0,0,0,0
Arsenal,Man United,3,2,25,6,1,1,0,0,0
Liverpool,Chelsea,0,0,15,11,0,0,0,0,0
Bournemouth,Nott'm Forest,1,1,16,20,1,0,0,0,0
Leicester,Brighton,2,2,9,13,1,1,0,0,0
Southampton,Aston Villa,0,1,8,16,0,0,0,0,0
West Ham,Everton,2,0,11,5,2,0,0,0,0
Crystal Palace,Newcastle,0,0,6,16,0,0,0,0,0
Man City,Tottenham,4,2,16,9,0,2,0,0,0
Crystal Palace,Man United,1,1,10,15,0,1,0,0,0
Chelsea,Crystal Palace,1,0,15,10,0,0,0,0,0
Newcastle,Fulham,1,0,20,5,0,0,0,0,0
Tottenham,Arsenal,0,2,17,14,0,2,0,0,0
Man United,Man City,2,1,8,5,0,0,0,0,0
Brighton,Liverpool,3,0,16,6,0,0,0,0,0
Everton,Southampton,1,2,12,13,1,0,0,0,0
Nott'm Forest,Leicester,2,0,15,6,0,0,0,0,0
Wolves,West Ham,1,0,17,16,0,0,0,0,0
Brentford,Bournemouth,2,0,12,7,1,0,0,0,0
Aston Villa,Leeds,2,1,11,16,1,0,0,0,0
Fulham,Chelsea,2,1,8,20,1,0,0,0,0
Chelsea,Man City,0,1,8,12,0,0,0,0,0
Southampton,Nott'm Forest,0,1,8,11,0,1,0,0,0
Leeds,West Ham,2,2,14,15,1,1,0,0,0
Aston Villa,Wolves,1,1,13,10,0,1,0,0,0
Crystal Palace,Tottenham,0,4,19,14,0,0,0,0,0
Arsenal,Newcastle,0,0,17,8,0,0,0,0,0
Everton,Brighton,1,4,10,19,0,1,0,0,0
Leicester,Fulham,0,1,15,11,0,1,0,0,0
Man United,Bournemouth,3,0,18,7,1,0,0,0,0
Brentford,Liverpool,3,1,10,16,2,0,0,0,0
Tottenham,Aston Villa,0,2,6,13,0,0,0,0,0
Nott'm Forest,Chelsea,1,1,12,7,0,1,0,0,0
Wolves,Man United,0,1,10,16,0,0,0,0,0
Bournemouth,Crystal Palace,0,2,6,15,0,2,0,0,0
Fulham,Southampton,2,1,8,9,1,0,0,0,0
Man City,Everton,1,1,16,2,1,0,0,0,0
Newcastle,Leeds,0,0,16,8,0,0,0,0,0
