HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Sunderland,Middlesbrough,2,0,17,14,0,0,0,0,0
Coventry,Norwich,2,4,11,18,2,3,0,0,0
Birmingham,Preston,1,2,10,8,0,2,0,0,0
Bristol City,Blackburn,1,1,11,6,0,0,0,0,0
Cardiff,Millwall,0,1,22,15,0,1,0,0,0
QPR,Swansea,1,1,15,14,1,0,0,0,0
Stoke,Reading,4,0,16,7,1,0,0,0,0
Watford,Rotherham,1,1,18,12,0,1,0,0,0
Wigan,Luton,0,2,9,8,0,1,0,0,0
Sheffield United,Hull,1,0,13,10,1,0,0,0,0
Burnley,West Brom,2,1,17,8,0,1,0,0,0
Rotherham,Blackburn,4,0,8,9,1,0,0,0,0
Bristol City,Birmingham,4,2,10,14,2,1,0,0,0
Burnley,Coventry,1,0,10,8,0,0,0,0,0
Cardiff,Wigan,1,1,11,16,0,0,0,0,0
Hull,Huddersfield,1,1,14,8,0,1,0,0,0
Luton,West Brom,2,3,10,18,2,1,0,0,0
Middlesbrough,Millwall,1,0,7,8,0,0,0,0,0
Preston,Norwich,0,4,9,22,0,3,0,0,0
Reading,QPR,2,2,10,17,2,0,0,0,0
Sheffield United,Stoke,3,1,8,9,2,1,0,0,0
Sunderland,Swansea,1,3,8,18,0,0,0,0,0
Watford,Blackpool,2,0,11,6,0,0,0,0,0
Birmingham,Middlesbrough,1,3,9,18,0,0,0,0,0
Norwich,Watford,0,1,15,12,0,0,0,0,0
Stoke,Preston,0,1,15,9,0,0,0,0,0
Swansea,Burnley,1,2,10,8,1,2,0,0,0
West Brom,Reading,1,0,17,7,0,0,0,0,0
Wigan,Hull,1,4,6,9,0,1,0,0,0
QPR,Sheffield United,1,1,15,15,1,0,0,0,0
Blackburn,Cardiff,1,0,10,11,0,0,0,0,0
Blackpool,Sunderland,1,1,6,18,1,0,0,0,0
Coventry,Bristol City,1,1,16,9,1,1,0,0,0
Huddersfield,Luton,1,2,6,9,1,1,0,0,0
Millwall,Rotherham,3,0,26,5,1,0,0,0,0
Birmingham,Hull,0,1,10,15,0,0,0,0,0
Norwich,Reading,1,1,11,11,0,0,0,0,0
Stoke,Burnley,0,1,6,7,0,0,0,0,0
Swansea,Watford,4,0,15,4,1,0,0,0,0
QPR,Luton,0,3,8,6,0,1,0,0,0
Blackburn,Middlesbrough,1,2,9,11,1,0,0,0,0
Coventry,Cardiff,0,0,15,6,0,0,0,0,0
Huddersfield,Rotherham,2,0,9,7,1,0,0,0,0
Millwall,Bristol City,0,0,9,6,0,0,0,0,0
Wigan,Sunderland,1,4,7,13,1,1,0,0,0
West Brom,Preston,2,0,17,8,1,0,0,0,0
